Audrey Hepburn,"Nothing is impossible, the word itself says “I’m possible”!"
Maya Angelou,"I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."
Henry Ford,"Whether you think you can or you think you can’t, you’re right."
Vince Lombardi,"Perfection is not attainable, but if we chase perfection we can catch excellence."
Charles Swindoll,"Life is 10% what happens to me and 90% of how I react to it."
Oprah Winfrey,"If you look at what you have in life, you’ll always have more. If you look at what you don’t have in life, you’ll never have enough."
Eleanor Roosevelt,"Remember no one can make you feel inferior without your consent."
Jimmy Dean,"I can’t change the direction of the wind, but I can adjust my sails to always reach my destination."
Theodore Roosevelt,"Believe you can and you’re halfway there."
Eleanor Roosevelt,"To handle yourself, use your head; to handle others, use your heart."
Les Brown,"Too many of us are not living our dreams because we are living our fears."
Yoda,"Do or do not. There is no try."
Napoleon Hill,"Whatever the mind of man can conceive and believe, it can achieve."
Mark Twain,"Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do, so throw off the bowlines, sail away from safe harbor, catch the trade winds in your sails. Explore, Dream, Discover."
Michael Jordan,"I’ve missed more than 9000 shots in my career. I’ve lost almost 300 games. 26 times I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life. And that is why I succeed."
Albert Einstein,"Strive not to be a success, but rather to be of value."
Stephen Covey,"I am not a product of my circumstances. I am a product of my decisions."
Henry Ford,"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it."
Alice Walker,"The most common way people give up their power is by thinking they don’t have any."
Amelia Earhart,"The most difficult thing is the decision to act, the rest is merely tenacity."
Aristotle Onassis,"It is during our darkest moments that we must focus to see the light."
Robert Louis Stevenson,"Don’t judge each day by the harvest you reap but by the seeds that you plant."
Steve Jobs,"The only way to do great work is to love what you do."
Norman Vincent Peale,"Change your thoughts and you change your world."
Ayn Rand,"The question isn’t who is going to let me; it’s who is going to stop me."
Vincent Van Gogh,"If you hear a voice within you say "you cannot paint," then by all means paint and that voice will be silenced."
Farrah Gray,"Build your own dreams, or someone else will hire you to build theirs."
Dalai Lama,"Remember that not getting what you want is sometimes a wonderful stroke of luck."
Maya Angelou,"You can’t use up creativity. The more you use, the more you have."
Rosa Parks,"I have learned over the years that when one’s mind is made up, this diminishes fear."
Vincent van Gogh,"I would rather die of passion than of boredom."
Unknown,"A truly rich man is one whose children run into his arms when his hands are empty."
,"A person who never made a mistake never tried anything new."
Bob Dylan,"What’s money? A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do."
Leonardo da Vinci,"I have been impressed with the urgency of doing. Knowing is not enough; we must apply. Being willing is not enough; we must do."
Booker T. Washington,"If you want to lift yourself up, lift up someone else."
Jamie Paolinetti,"Limitations live only in our minds. But if we use our imaginations, our possibilities become limitless."
Sheryl Sandberg,"If you’re offered a seat on a rocket ship, don’t ask what seat! Just get on."
Ancient Indian Proverb,"Certain things catch your eye, but pursue only those that capture the heart."
Helen Keller,"When one door of happiness closes, another opens, but often we look so long at the closed door that we do not see the one that has been opened for us."
Confucius,"Everything has beauty, but not everyone can see."
Anne Frank,"How wonderful it is that nobody need wait a single moment before starting to improve the world."
John Lennon,"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down “happy”. They told me I didn’t understand the assignment, and I told them they didn’t understand life."
Ralph Waldo Emerson,"The only person you are destined to become is the person you decide to be."
Ronald Reagan,"We can’t help everyone, but everyone can help someone."
George Addair,"Everything you’ve ever wanted is on the other side of fear."
Plato,"We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light."
Maya Angelou,"Nothing will work unless you do."
Mother Teresa,"I alone cannot change the world, but I can cast a stone across the water to create many ripples."
Plutarch,"What we achieve inwardly will change outer reality."
